武夷山北
武夷山东
建瓯西
红星线路所
南平北
古田北
闽清北
福鼎
太姥山
霞浦
福安
宁德
罗源
透堡
连江
温福线路所
福厦线路所
樟林
福州
福州南
福清
渔溪
涵江
莆田
仙游
惠安
泉州
晋江
翔安
厦门
高崎
杏林
角美
前场
漳州
漳浦
云霄
诏安
龙岩
东南线路所
马坑
龙山
南靖
草坂
矮陂线路所
古田会址
冠豸山
长汀南
龙岩动车存车场
建宁县北
泰宁
将乐
夏茂
三明
尤溪
中仙
长庆
永泰
涵江北
杜坞
上杭古田
延平
永安
双洋
漳平西
雁石南
湖一
后岭
南石
